"","year","a_author_fraction","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"71","2005","Sozialdemokratische Fraktion",434,10.5990783410138,9.67741935483871,1.38248847926267,13.1336405529954,NA,1.15207373271889,10.1382488479263,NA,8.98617511520737,3.68663594470046,NA,11.9815668202765,0.460829493087558,2.76497695852535,5.52995391705069,1.38248847926267,2.99539170506912,5.99078341013825,10.36866359447,4.83870967741935,9.67741935483871,0.921658986175115,6.22119815668203,NA,NA,NA,NA,NA
"73","2006","Christlichdemokratische Fraktion",199,2.51256281407035,1.50753768844221,5.0251256281407,21.105527638191,NA,3.01507537688442,10.5527638190955,NA,14.572864321608,2.01005025125628,NA,6.03015075376884,1.00502512562814,5.52763819095477,4.52261306532663,1.50753768844221,7.03517587939699,12.0603015075377,8.04020100502512,2.01005025125628,9.04522613065327,2.51256281407035,9.04522613065327,NA,NA,NA,NA,NA
"74","2006","EVP/EDU Fraktion",45,15.5555555555556,8.88888888888889,4.44444444444444,4.44444444444444,NA,0,6.66666666666667,NA,13.3333333333333,4.44444444444444,NA,15.5555555555556,0,0,0,0,2.22222222222222,20,4.44444444444444,24.4444444444444,0,2.22222222222222,13.3333333333333,NA,NA,NA,NA,NA
"75","2006","Fraktion der Schweizerischen Volkspartei",271,8.11808118081181,12.1771217712177,4.7970479704797,7.01107011070111,NA,8.48708487084871,5.53505535055351,NA,7.74907749077491,7.38007380073801,NA,5.16605166051661,0.3690036900369,2.5830258302583,2.5830258302583,2.2140221402214,4.0590405904059,12.1771217712177,6.64206642066421,2.9520295202952,11.4391143911439,3.3210332103321,10.3321033210332,NA,NA,NA,NA,NA
"76","2006","Fraktionslos",53,5.66037735849057,1.88679245283019,1.88679245283019,16.9811320754717,NA,1.88679245283019,11.3207547169811,NA,13.2075471698113,5.66037735849057,NA,24.5283018867925,3.77358490566038,1.88679245283019,0,0,0,5.66037735849057,3.77358490566038,1.88679245283019,1.88679245283019,1.88679245283019,13.2075471698113,NA,NA,NA,NA,NA
"77","2006","Freisinnig-demokratische Fraktion",205,6.34146341463415,4.39024390243902,5.85365853658537,17.5609756097561,NA,2.92682926829268,8.78048780487805,NA,6.82926829268293,1.95121951219512,NA,8.29268292682927,1.46341463414634,1.46341463414634,9.75609756097561,7.31707317073171,5.36585365853659,12.1951219512195,3.90243902439024,4.39024390243902,6.34146341463415,2.4390243902439,7.31707317073171,NA,NA,NA,NA,NA
"78","2006","Grüne Fraktion",216,13.4259259259259,13.4259259259259,0.925925925925926,5.55555555555556,NA,2.77777777777778,4.62962962962963,NA,8.33333333333333,9.25925925925926,NA,11.5740740740741,0.925925925925926,1.38888888888889,1.38888888888889,2.77777777777778,2.31481481481481,10.6481481481481,13.8888888888889,5.09259259259259,5.55555555555556,2.31481481481481,11.5740740740741,NA,NA,NA,NA,NA
"79","2006","Sozialdemokratische Fraktion",421,8.55106888361045,9.97624703087886,3.56294536817102,17.3396674584323,NA,0.475059382422803,5.93824228028504,NA,9.73871733966746,5.70071258907363,NA,11.1638954869359,1.66270783847981,0.712589073634204,4.27553444180523,1.90023752969121,4.51306413301663,7.36342042755344,6.88836104513064,2.37529691211401,10.2137767220903,1.90023752969121,12.3515439429929,NA,NA,NA,NA,NA
"81","2007","Christlichdemokratische Fraktion",146,4.10958904109589,2.73972602739726,0.684931506849315,15.7534246575342,NA,3.42465753424658,4.79452054794521,NA,12.3287671232877,0.684931506849315,NA,12.3287671232877,1.36986301369863,0.684931506849315,2.05479452054795,0,8.9041095890411,8.21917808219178,10.958904109589,14.3835616438356,7.53424657534247,1.36986301369863,10.2739726027397,NA,NA,NA,NA,NA
"82","2007","EVP/EDU Fraktion",23,8.69565217391304,4.34782608695652,0,13.0434782608696,NA,0,30.4347826086957,NA,8.69565217391304,4.34782608695652,NA,13.0434782608696,0,0,0,0,0,13.0434782608696,8.69565217391304,13.0434782608696,4.34782608695652,0,0,NA,NA,NA,NA,NA
