"","year","a_council","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"20","2000","Nationalrat",239,7.53138075313807,9.20502092050209,1.67364016736402,12.9707112970711,NA,10.0418410041841,10.8786610878661,NA,15.8995815899582,4.18410041841004,NA,10.4602510460251,1.67364016736402,0,5.85774058577406,2.92887029288703,9.6234309623431,8.36820083682008,6.27615062761506,1.67364016736402,12.1338912133891,0.836820083682008,12.5523012552301,NA,NA,NA,NA,NA
"21","2000","Ständerat",33,3.03030303030303,15.1515151515152,6.06060606060606,21.2121212121212,NA,6.06060606060606,21.2121212121212,NA,6.06060606060606,3.03030303030303,NA,9.09090909090909,3.03030303030303,0,6.06060606060606,0,9.09090909090909,0,9.09090909090909,3.03030303030303,9.09090909090909,3.03030303030303,18.1818181818182,NA,NA,NA,NA,NA
"22","2000","Bundesrat",9,33.3333333333333,0,11.1111111111111,22.2222222222222,NA,0,22.2222222222222,NA,0,0,NA,0,0,0,0,0,0,22.2222222222222,22.2222222222222,0,0,0,33.3333333333333,NA,NA,NA,NA,NA
"23","2000","Volksinitiative",5,20,0,0,20,NA,0,20,NA,20,0,NA,20,0,0,20,0,0,0,0,0,0,0,40,NA,NA,NA,NA,NA
"24","2001","Nationalrat",1172,6.39931740614334,6.65529010238908,1.96245733788396,11.7747440273038,NA,5.88737201365188,5.37542662116041,NA,5.2901023890785,7.84982935153584,NA,8.19112627986348,1.02389078498294,2.98634812286689,4.60750853242321,3.15699658703072,4.77815699658703,16.7235494880546,7.16723549488055,3.07167235494881,6.65529010238908,2.38907849829352,6.8259385665529,NA,NA,NA,NA,NA
"25","2001","Ständerat",122,4.91803278688525,5.73770491803279,2.45901639344262,13.1147540983607,NA,7.37704918032787,5.73770491803279,NA,3.27868852459016,2.45901639344262,NA,4.0983606557377,0.819672131147541,0.819672131147541,2.45901639344262,3.27868852459016,8.19672131147541,23.7704918032787,8.19672131147541,1.63934426229508,13.1147540983607,1.63934426229508,7.37704918032787,NA,NA,NA,NA,NA
"26","2001","Bundesrat",70,11.4285714285714,12.8571428571429,1.42857142857143,12.8571428571429,NA,1.42857142857143,14.2857142857143,NA,11.4285714285714,1.42857142857143,NA,2.85714285714286,1.42857142857143,4.28571428571429,2.85714285714286,1.42857142857143,0,4.28571428571429,2.85714285714286,0,14.2857142857143,0,17.1428571428571,NA,NA,NA,NA,NA
"27","2001","Volksinitiative",5,0,0,0,0,NA,0,20,NA,20,20,NA,0,0,0,0,0,0,0,20,20,0,0,40,NA,NA,NA,NA,NA
"28","2002","Nationalrat",1139,8.6918349429324,5.97014925373134,2.01931518876207,10.9745390693591,NA,5.88235294117647,6.67251975417032,NA,10.7111501316945,3.16066725197542,NA,12.0280948200176,1.66812993854258,2.10711150131694,3.42405618964003,1.58033362598771,5.61896400351185,11.062335381914,5.17998244073749,2.10711150131694,4.828797190518,1.9315188762072,4.828797190518,NA,NA,NA,NA,NA
"29","2002","Ständerat",138,5.07246376811594,2.17391304347826,2.89855072463768,10.1449275362319,NA,5.79710144927536,10.8695652173913,NA,7.2463768115942,0.72463768115942,NA,10.1449275362319,1.44927536231884,1.44927536231884,1.44927536231884,2.89855072463768,5.79710144927536,18.1159420289855,5.07246376811594,0.72463768115942,10.8695652173913,2.17391304347826,2.89855072463768,NA,NA,NA,NA,NA
"30","2002","Bundesrat",82,9.75609756097561,9.75609756097561,2.4390243902439,9.75609756097561,NA,2.4390243902439,23.1707317073171,NA,2.4390243902439,3.65853658536585,NA,2.4390243902439,1.21951219512195,2.4390243902439,2.4390243902439,3.65853658536585,2.4390243902439,7.31707317073171,8.53658536585366,0,3.65853658536585,0,8.53658536585366,NA,NA,NA,NA,NA
"31","2003","Nationalrat",1054,9.01328273244782,9.39278937381404,1.80265654648956,13.3776091081594,NA,2.94117647058824,9.01328273244782,NA,12.1442125237192,4.45920303605313,NA,8.82352941176471,0.94876660341556,1.89753320683112,3.13092979127135,1.32827324478178,3.70018975332068,12.7134724857685,5.69259962049336,2.94117647058824,7.02087286527514,1.80265654648956,4.55407969639469,NA,NA,NA,NA,NA
