year,articles
1995,1547
1996,1610
1997,777
1998,1895
1999,726
2000,1287
2001,1994
2002,1686
2003,1959
2004,1907
2005,2891
2006,3826
2007,13600
2008,8563
2009,9581
2010,5897
2011,5206
2012,4582
2013,4484
2014,4511
2015,6775
2016,7547
2017,11106
2018,13880
2019,11508
